Material,density,Z,m,n,A_half
Be,1.0,4,3.57,1.819,2.82
C_diamond,1.0,6,2.83,1.811,2.29999999999999
C_graphite,1.0,6,2.83,1.811,2.29999999999999
Mg,1.0,12,2.08,1.757,2.31
Al,1.0,13,2.02,1.748,2.3800000000000003
Si,1.0,14,1.99,1.729,2.33
Ti,1.0,22,1.753,1.655,2.6100000000000003
Fe,1.0,26,1.766,1.692,2.38999999999999
Ni,1.0,28,1.741,1.675,2.4299999999999997
Cu,1.0,29,1.729,1.667,2.58
Ge,1.0,32,1.68,1.594,3.2
Pd,1.0,46,1.636,1.579,3.2800000000000002
Ag,1.0,47,1.636,1.576,3.2699999999999902
W,1.0,74,1.621,1.498,4.51
Pt,1.0,78,1.616,1.486,4.83999999999999
Au,1.0,79,1.626,1.408,6.01
Pb,1.0,82,1.656,1.373,6.76
Bi,1.0,83,1.655,1.372,7.5600000000000005
U,1.0,92,1.654,1.358,7.3999999999999995
SiO2,2.65,0,2.19,1.774,2.22
SiC,3.22,0,2.13,1.77,2.2399999999999998
Al2O3,4.0,0,2.21,1.773,2.27999999999999
GaAs,5.31,0,1.68,1.592,3.2
PbS,7.2,0,1.608,1.485,4.53
Paraffin,0.77,0,3.39,1.813,2.10999999999999
PE,0.87,0,3.39,1.813,2.10999999999999
UHMPE,0.94,0,3.39,1.813,2.10999999999999
Acryl,1.06,0,2.95,1.812,2.19
Nylon,1.18,0,2.94,1.811,2.17
Plexi,1.19,0,2.93,1.811,2.1399999999999997
Mylar,1.4,0,2.81,1.809,2.1999999999999997
Kapton,1.42,0,2.79,1.809,2.2399999999999998
Cellulose,1.44,0,2.67,1.805,2.25
Teflon,2.1,0,2.5,1.797,2.31999999999999
